geoid,geoid20,year,denom_total_pop,pm25_concentration
1400000US06037101110,6037101110,2021,4283,11.3
1400000US06037101122,6037101122,2021,3405,11.09
1400000US06037101220,6037101220,2021,3702,11.26
1400000US06037101221,6037101221,2021,3455,11.33
1400000US06037101222,6037101222,2021,2892,11.33
1400000US06037101300,6037101300,2021,3884,11.01
1400000US06037101400,6037101400,2021,3458,11.14
1400000US06037102103,6037102103,2021,1763,11.3
1400000US06037102104,6037102104,2021,3721,11.46
1400000US06037102105,6037102105,2021,1905,11.56
1400000US06037102107,6037102107,2021,4349,11.14
1400000US06037103101,6037103101,2021,2428,11.24
1400000US06037103102,6037103102,2021,4734,11.23
1400000US06037103201,6037103201,2021,1674,11.19
1400000US06037103202,6037103202,2021,4056,11.19
1400000US06037103300,6037103300,2021,3781,11.15
1400000US06037103401,6037103401,2021,3596,11.15
1400000US06037103402,6037103402,2021,2820,11.15
1400000US06037104103,6037104103,2021,3431,11.25
1400000US06037104105,6037104105,2021,6054,11.14
1400000US06037104108,6037104108,2021,6001,11.19
1400000US06037104124,6037104124,2021,3875,10.92
1400000US06037104201,6037104201,2021,4569,11.16
1400000US06037104203,6037104203,2021,5441,11.17
1400000US06037104204,6037104204,2021,3679,10.95
1400000US06037104310,6037104310,2021,4962,11.2
1400000US06037104321,6037104321,2021,2270,11.17
1400000US06037104322,6037104322,2021,3022,11.17
1400000US06037104401,6037104401,2021,3270,11.29
1400000US06037104403,6037104403,2021,3341,11.44
1400000US06037104404,6037104404,2021,3084,11.32
1400000US06037104500,6037104500,2021,3025,11.4
1400000US06037104610,6037104610,2021,3386,11.4
1400000US06037104620,6037104620,2021,3528,11.4
1400000US06037104701,6037104701,2021,4402,11.3
1400000US06037104703,6037104703,2021,2174,11.23
1400000US06037104704,6037104704,2021,4321,11.37
1400000US06037104821,6037104821,2021,3551,11.45
1400000US06037104822,6037104822,2021,2839,11.38
1400000US06037104823,6037104823,2021,2663,11.46
1400000US06037104824,6037104824,2021,2968,11.46
1400000US06037106010,6037106010,2021,3093,10.84
1400000US06037106020,6037106020,2021,5420,10.76
1400000US06037106111,6037106111,2021,3049,10.86
1400000US06037106112,6037106112,2021,5611,10.94
1400000US06037106113,6037106113,2021,3697,10.93
1400000US06037106114,6037106114,2021,6324,11.03
1400000US06037106403,6037106403,2021,3667,10.98
1400000US06037106405,6037106405,2021,4758,10.81
1400000US06037106406,6037106406,2021,5634,10.77
1400000US06037106407,6037106407,2021,3119,10.98
1400000US06037106408,6037106408,2021,3667,10.86
1400000US06037106510,6037106510,2021,5823,10.6
1400000US06037106520,6037106520,2021,5920,10.93
1400000US06037106603,6037106603,2021,2126,10.37
1400000US06037106604,6037106604,2021,5068,11.04
1400000US06037106641,6037106641,2021,2372,10.95
1400000US06037106642,6037106642,2021,2961,11.09
1400000US06037106643,6037106643,2021,4577,10.94
1400000US06037106645,6037106645,2021,3650,11.22
1400000US06037106646,6037106646,2021,3161,11.2
1400000US06037106648,6037106648,2021,4546,11.15
1400000US06037106649,6037106649,2021,2661,11.17
1400000US06037107010,6037107010,2021,3141,10.89
1400000US06037107020,6037107020,2021,5317,11.03
1400000US06037108101,6037108101,2021,2327,11.04
1400000US06037108102,6037108102,2021,3552,10.88
1400000US06037108103,6037108103,2021,3099,10.94
1400000US06037108104,6037108104,2021,1836,10.7
1400000US06037108202,6037108202,2021,7378,10.51
1400000US06037108203,6037108203,2021,2671,10.85
1400000US06037108204,6037108204,2021,2788,10.85
1400000US06037109100,6037109100,2021,2797,11.11
1400000US06037109200,6037109200,2021,2426,11.36
1400000US06037109300,6037109300,2021,2962,11.4
1400000US06037109400,6037109400,2021,3903,11.34
1400000US06037109500,6037109500,2021,4832,11.23
1400000US06037109601,6037109601,2021,4945,11.39
1400000US06037109603,6037109603,2021,4297,11.67
1400000US06037109604,6037109604,2021,3195,11.5
1400000US06037109700,6037109700,2021,4616,11.47
1400000US06037109800,6037109800,2021,5534,11.62
1400000US06037111100,6037111100,2021,3179,11.42
1400000US06037111201,6037111201,2021,3628,11.26
1400000US06037111202,6037111202,2021,5169,11.45
1400000US06037111204,6037111204,2021,6114,11.41
1400000US06037111205,6037111205,2021,3869,11.7
1400000US06037111206,6037111206,2021,4379,11.37
1400000US06037111302,6037111302,2021,5163,11.82
1400000US06037111303,6037111303,2021,5901,11.62
1400000US06037111304,6037111304,2021,1651,11.62
1400000US06037111401,6037111401,2021,4053,11.63
1400000US06037111402,6037111402,2021,4682,11.63
1400000US06037113101,6037113101,2021,3719,10.79
1400000US06037113102,6037113102,2021,3021,11.09
1400000US06037113211,6037113211,2021,4109,10.28
1400000US06037113212,6037113212,2021,3494,10.61
1400000US06037113213,6037113213,2021,5248,10.67
1400000US06037113231,6037113231,2021,2303,10.08
1400000US06037113232,6037113232,2021,4315,10.92
1400000US06037113234,6037113234,2021,4823,11.32
1400000US06037113235,6037113235,2021,1824,9.8599997
1400000US06037113237,6037113237,2021,4194,10.46
1400000US06037113238,6037113238,2021,4557,11.18
1400000US06037113239,6037113239,2021,2788,11.18
1400000US06037113301,6037113301,2021,3509,11.95
1400000US06037113303,6037113303,2021,4191,11.47
1400000US06037113322,6037113322,2021,4572,11.37
1400000US06037113323,6037113323,2021,4267,11
1400000US06037113324,6037113324,2021,1913,11
1400000US06037113423,6037113423,2021,1899,12.13
1400000US06037113424,6037113424,2021,4651,12.13
1400000US06037113425,6037113425,2021,1059,11.55
1400000US06037113426,6037113426,2021,5820,11.55
1400000US06037113427,6037113427,2021,1069,11.78
1400000US06037113428,6037113428,2021,5237,11.78
1400000US06037115101,6037115101,2021,5083,12.11
1400000US06037115103,6037115103,2021,3381,11.92
1400000US06037115104,6037115104,2021,4377,12.11
1400000US06037115202,6037115202,2021,5684,12.41
1400000US06037115203,6037115203,2021,2914,11.94
1400000US06037115204,6037115204,2021,3733,11.94
1400000US06037115301,6037115301,2021,4524,11.96
1400000US06037115302,6037115302,2021,3957,12.55
1400000US06037115401,6037115401,2021,6373,12.65
1400000US06037115403,6037115403,2021,3583,12.58
1400000US06037115404,6037115404,2021,2800,12.62
1400000US06037117101,6037117101,2021,5224,11.71
1400000US06037117102,6037117102,2021,2861,11.67
1400000US06037117201,6037117201,2021,5191,11.85
1400000US06037117202,6037117202,2021,2633,11.76
1400000US06037117301,6037117301,2021,3910,11.88
1400000US06037117302,6037117302,2021,5229,12
1400000US06037117303,6037117303,2021,3754,12.29
1400000US06037117404,6037117404,2021,5324,12.14
1400000US06037117405,6037117405,2021,3574,11.95
1400000US06037117407,6037117407,2021,3836,11.95
1400000US06037117408,6037117408,2021,3073,12.06
1400000US06037117510,6037117510,2021,3687,11.77
1400000US06037117520,6037117520,2021,4168,11.77
1400000US06037117530,6037117530,2021,6742,11.86
1400000US06037119001,6037119001,2021,4435,11.41
1400000US06037119003,6037119003,2021,3996,11.49
1400000US06037119004,6037119004,2021,3980,11.49
1400000US06037119201,6037119201,2021,4547,11.55
1400000US06037119202,6037119202,2021,4759,11.48
1400000US06037119310,6037119310,2021,4087,11.67
1400000US06037119320,6037119320,2021,4906,11.67
1400000US06037119340,6037119340,2021,4264,11.61
1400000US06037119341,6037119341,2021,2890,11.61
1400000US06037119342,6037119342,2021,2911,11.67
1400000US06037119400,6037119400,2021,5499,11.57
1400000US06037119700,6037119700,2021,4913,11.5
1400000US06037119801,6037119801,2021,2985,11.51
1400000US06037119802,6037119802,2021,3069,11.51
1400000US06037119900,6037119900,2021,5245,11.63
1400000US06037120010,6037120010,2021,2704,12.08
1400000US06037120020,6037120020,2021,3738,11.81
1400000US06037120030,6037120030,2021,2800,11.81
1400000US06037120103,6037120103,2021,3452,11.61
1400000US06037120104,6037120104,2021,2228,11.68
1400000US06037120105,6037120105,2021,2832,11.65
1400000US06037120106,6037120106,2021,4763,11.86
1400000US06037120107,6037120107,2021,3893,11.86
1400000US06037120108,6037120108,2021,4732,11.77
1400000US06037120300,6037120300,2021,5238,11.68
1400000US06037120400,6037120400,2021,6769,11.58
1400000US06037121010,6037121010,2021,4934,11.46
1400000US06037121020,6037121020,2021,3610,11.5
1400000US06037121101,6037121101,2021,2862,11.49
1400000US06037121102,6037121102,2021,2479,11.35
1400000US06037121210,6037121210,2021,2926,11.3
1400000US06037121221,6037121221,2021,2420,11.44
1400000US06037121222,6037121222,2021,5139,11.41
1400000US06037121600,6037121600,2021,2735,11.5
1400000US06037121801,6037121801,2021,3127,11.49
1400000US06037121802,6037121802,2021,3216,11.41
1400000US06037121900,6037121900,2021,3761,11.44
1400000US06037122000,6037122000,2021,5892,11.51
1400000US06037122120,6037122120,2021,5011,11.5
1400000US06037122121,6037122121,2021,2829,11.5
1400000US06037122122,6037122122,2021,2728,11.43
1400000US06037122200,6037122200,2021,3469,11.51
1400000US06037122410,6037122410,2021,3457,11.53
1400000US06037122420,6037122420,2021,4503,11.52
1400000US06037123010,6037123010,2021,4027,11.53
1400000US06037123020,6037123020,2021,3250,11.53
1400000US06037123103,6037123103,2021,3808,11.48
1400000US06037123104,6037123104,2021,4416,11.51
1400000US06037123203,6037123203,2021,4094,11.52
1400000US06037123204,6037123204,2021,3129,11.52
1400000US06037123205,6037123205,2021,2492,11.52
1400000US06037123206,6037123206,2021,2572,11.52
1400000US06037123301,6037123301,2021,4530,11.53
1400000US06037123303,6037123303,2021,3087,11.57
1400000US06037123304,6037123304,2021,4362,11.52
1400000US06037123410,6037123410,2021,4181,11.59
1400000US06037123420,6037123420,2021,4408,11.57
1400000US06037123510,6037123510,2021,4795,11.59
1400000US06037123520,6037123520,2021,2816,11.58
1400000US06037123601,6037123601,2021,4803,11.57
1400000US06037123602,6037123602,2021,3659,11.65
1400000US06037123700,6037123700,2021,4435,11.54
1400000US06037123800,6037123800,2021,6018,11.5
1400000US06037123901,6037123901,2021,4696,11.5
1400000US06037123902,6037123902,2021,2668,11.53
1400000US06037124000,6037124000,2021,5219,11.55
1400000US06037124102,6037124102,2021,3551,11.55
1400000US06037124103,6037124103,2021,1950,11.53
1400000US06037124104,6037124104,2021,2492,11.53
1400000US06037124105,6037124105,2021,2538,11.53
1400000US06037124201,6037124201,2021,3348,11.52
1400000US06037124203,6037124203,2021,2384,11.55
1400000US06037124204,6037124204,2021,2192,11.55
1400000US06037124300,6037124300,2021,2988,11.51
1400000US06037124400,6037124400,2021,4858,11.52
1400000US06037124500,6037124500,2021,2925,11.65
1400000US06037124600,6037124600,2021,2691,11.62
1400000US06037124700,6037124700,2021,5539,11.59
1400000US06037124902,6037124902,2021,2706,11.52
1400000US06037124903,6037124903,2021,3499,11.55
1400000US06037125101,6037125101,2021,2948,11.54
1400000US06037125102,6037125102,2021,2944,11.54
1400000US06037125200,6037125200,2021,3907,11.53
1400000US06037125310,6037125310,2021,4313,11.55
1400000US06037125321,6037125321,2021,2093,11.56
1400000US06037125322,6037125322,2021,3013,11.56
1400000US06037125402,6037125402,2021,5040,11.53
1400000US06037125403,6037125403,2021,2102,11.53
1400000US06037125404,6037125404,2021,2864,11.53
1400000US06037125501,6037125501,2021,3052,11.54
1400000US06037125502,6037125502,2021,3488,11.55
1400000US06037125600,6037125600,2021,2811,11.67
1400000US06037127102,6037127102,2021,5779,11.68
1400000US06037127103,6037127103,2021,3109,11.61
1400000US06037127104,6037127104,2021,3821,11.68
1400000US06037127210,6037127210,2021,5838,11.99
1400000US06037127220,6037127220,2021,5045,11.81
1400000US06037127300,6037127300,2021,3809,12.08
1400000US06037127400,6037127400,2021,6558,12.3
1400000US06037127520,6037127520,2021,4870,12.06
1400000US06037127603,6037127603,2021,3068,12.33
1400000US06037127604,6037127604,2021,3157,12.44
1400000US06037127605,6037127605,2021,4329,12.33
1400000US06037127606,6037127606,2021,3322,12.21
1400000US06037127711,6037127711,2021,3588,12.08
1400000US06037127712,6037127712,2021,3560,12.12
1400000US06037127803,6037127803,2021,4790,11.78
1400000US06037127804,6037127804,2021,4352,11.89
1400000US06037127805,6037127805,2021,3627,11.85
1400000US06037127806,6037127806,2021,3293,11.85
1400000US06037127910,6037127910,2021,5097,11.78
1400000US06037127920,6037127920,2021,4716,11.64
1400000US06037128101,6037128101,2021,3735,11.64
1400000US06037128102,6037128102,2021,4625,11.74
1400000US06037128210,6037128210,2021,5008,11.73
