geoid,geoid20,year,denom_total_pop,tothomeless_count,totshelt_count,totunshelt_count
1400000US06037101110,6037101110,2020,4566,1,0,1
1400000US06037101122,6037101122,2020,3064,5,0,5
1400000US06037101220,6037101220,2020,3340,16,0,16
1400000US06037101221,6037101221,2020,3289,12,0,12
1400000US06037101222,6037101222,2020,2754,10,0,10
1400000US06037101300,6037101300,2020,0,3,0,3
1400000US06037101400,6037101400,2020,4089,13,0,13
1400000US06037102103,6037102103,2020,1838,0,0,0
1400000US06037102104,6037102104,2020,3677,5,0,5
1400000US06037102105,6037102105,2020,1956,15,0,15
1400000US06037102107,6037102107,2020,3862,22,0,22
1400000US06037103101,6037103101,2020,2532,6,0,6
1400000US06037103102,6037103102,2020,4491,10,0,10
1400000US06037103201,6037103201,2020,1657,7,0,7
1400000US06037103202,6037103202,2020,4015,16,0,16
1400000US06037103300,6037103300,2020,3418,6,0,6
1400000US06037103401,6037103401,2020,3771,11,0,11
1400000US06037103402,6037103402,2020,2957,9,0,9
1400000US06037104103,6037104103,2020,3902,2,0,2
1400000US06037104105,6037104105,2020,5886,3,0,3
1400000US06037104108,6037104108,2020,5126,9,0,9
1400000US06037104124,6037104124,2020,4316,11,7,4
1400000US06037104201,6037104201,2020,4816,6,0,6
1400000US06037104203,6037104203,2020,5530,15,0,15
1400000US06037104204,6037104204,2020,3509,10,0,10
1400000US06037104310,6037104310,2020,5416,84,0,84
1400000US06037104321,6037104321,2020,2664,54,51,2
1400000US06037104322,6037104322,2020,3547,71,69,3
1400000US06037104401,6037104401,2020,3775,14,0,14
1400000US06037104403,6037104403,2020,3297,10,0,10
1400000US06037104404,6037104404,2020,3046,9,0,9
1400000US06037104500,6037104500,2020,2984,9,0,9
1400000US06037104610,6037104610,2020,3501,8,0,8
1400000US06037104620,6037104620,2020,3449,4,0,4
1400000US06037104701,6037104701,2020,4259,10,0,10
1400000US06037104703,6037104703,2020,2260,51,0,51
1400000US06037104704,6037104704,2020,4294,38,21,17
1400000US06037104821,6037104821,2020,3425,6,0,6
1400000US06037104822,6037104822,2020,2664,13,0,13
1400000US06037104823,6037104823,2020,2746,6,0,6
1400000US06037104824,6037104824,2020,3060,7,0,7
1400000US06037106010,6037106010,2020,3338,8,0,8
1400000US06037106020,6037106020,2020,5936,7,0,7
1400000US06037106111,6037106111,2020,3430,4,0,4
1400000US06037106112,6037106112,2020,5789,6,0,6
1400000US06037106113,6037106113,2020,3722,9,0,9
1400000US06037106114,6037106114,2020,6342,12,0,12
1400000US06037106403,6037106403,2020,3600,8,0,8
1400000US06037106405,6037106405,2020,4563,18,0,18
1400000US06037106406,6037106406,2020,5626,19,0,19
1400000US06037106407,6037106407,2020,3086,30,28,2
1400000US06037106408,6037106408,2020,3645,3,0,3
1400000US06037106510,6037106510,2020,5519,74,0,74
1400000US06037106520,6037106520,2020,5778,60,0,60
1400000US06037106603,6037106603,2020,2191,0,0,0
1400000US06037106604,6037106604,2020,4882,43,0,43
1400000US06037106641,6037106641,2020,2314,1,0,1
1400000US06037106642,6037106642,2020,3240,6,0,6
1400000US06037106643,6037106643,2020,4697,4,0,4
1400000US06037106645,6037106645,2020,3425,0,0,0
1400000US06037106646,6037106646,2020,3458,2,0,2
1400000US06037106648,6037106648,2020,4393,10,0,10
1400000US06037106649,6037106649,2020,2588,24,0,24
1400000US06037107010,6037107010,2020,3112,3,0,3
1400000US06037107020,6037107020,2020,5644,33,0,33
1400000US06037108101,6037108101,2020,2461,1,0,1
1400000US06037108102,6037108102,2020,3605,0,0,0
1400000US06037108103,6037108103,2020,3183,4,0,4
1400000US06037108104,6037108104,2020,1965,0,0,0
1400000US06037108202,6037108202,2020,6797,0,0,0
1400000US06037108203,6037108203,2020,2737,3,0,3
1400000US06037108204,6037108204,2020,2857,4,0,4
1400000US06037109100,6037109100,2020,2851,63,26,37
1400000US06037109200,6037109200,2020,2519,3,0,3
1400000US06037109300,6037109300,2020,3285,7,0,7
1400000US06037109400,6037109400,2020,3663,4,0,4
1400000US06037109500,6037109500,2020,4895,45,0,45
1400000US06037109601,6037109601,2020,5152,7,0,7
1400000US06037109603,6037109603,2020,4444,10,0,10
1400000US06037109604,6037109604,2020,2900,18,0,18
1400000US06037109700,6037109700,2020,4701,5,0,5
1400000US06037109800,6037109800,2020,5494,2,0,2
1400000US06037111100,6037111100,2020,3028,5,0,5
1400000US06037111201,6037111201,2020,3436,2,0,2
1400000US06037111202,6037111202,2020,5284,10,0,10
1400000US06037111204,6037111204,2020,6245,10,0,10
1400000US06037111205,6037111205,2020,4084,6,0,6
1400000US06037111206,6037111206,2020,4717,7,0,7
1400000US06037111302,6037111302,2020,5330,2,0,2
1400000US06037111303,6037111303,2020,5640,27,0,27
1400000US06037111304,6037111304,2020,1578,7,0,7
1400000US06037111401,6037111401,2020,3695,10,0,10
1400000US06037111402,6037111402,2020,4269,11,0,11
1400000US06037113101,6037113101,2020,3671,6,0,6
1400000US06037113102,6037113102,2020,3031,44,0,44
1400000US06037113211,6037113211,2020,3740,5,0,5
1400000US06037113212,6037113212,2020,3369,1,0,1
1400000US06037113213,6037113213,2020,4982,20,0,20
1400000US06037113231,6037113231,2020,2328,0,0,0
1400000US06037113232,6037113232,2020,4265,3,0,3
