geoid,geoid20,year,denom_total_pop,pollution_burden_score
1400000US06037101110,6037101110,2021,4283,4.27
1400000US06037101122,6037101122,2021,3405,3.76
1400000US06037101220,6037101220,2021,3702,4.6100001
1400000US06037101221,6037101221,2021,3455,4.2399998
1400000US06037101222,6037101222,2021,2892,4.2399998
1400000US06037101300,6037101300,2021,3884,5.4499998
1400000US06037101400,6037101400,2021,3458,5.6900001
1400000US06037102103,6037102103,2021,1763,6.2800002
1400000US06037102104,6037102104,2021,3721,7.6999998
1400000US06037102105,6037102105,2021,1905,8.5900002
1400000US06037102107,6037102107,2021,4349,6.7800002
1400000US06037103101,6037103101,2021,2428,4.5100002
1400000US06037103102,6037103102,2021,4734,4.5100002
1400000US06037103201,6037103201,2021,1674,6.0900002
1400000US06037103202,6037103202,2021,4056,6.0900002
1400000US06037103300,6037103300,2021,3781,5.4000001
1400000US06037103401,6037103401,2021,3596,5.3200002
1400000US06037103402,6037103402,2021,2820,5.3200002
1400000US06037104103,6037104103,2021,3431,6.2600002
1400000US06037104105,6037104105,2021,6054,5.5300002
1400000US06037104108,6037104108,2021,6001,6.2399998
1400000US06037104124,6037104124,2021,3875,5.29
1400000US06037104201,6037104201,2021,4569,7.1500001
1400000US06037104203,6037104203,2021,5441,6.0300002
1400000US06037104204,6037104204,2021,3679,6.5999999
1400000US06037104310,6037104310,2021,4962,8.25
1400000US06037104321,6037104321,2021,2270,7.7600002
1400000US06037104322,6037104322,2021,3022,7.7600002
1400000US06037104401,6037104401,2021,3270,7.9699998
1400000US06037104403,6037104403,2021,3341,7.3099999
1400000US06037104404,6037104404,2021,3084,7.0900002
1400000US06037104500,6037104500,2021,3025,6.9400001
1400000US06037104610,6037104610,2021,3386,6.6999998
1400000US06037104620,6037104620,2021,3528,6.4000001
1400000US06037104701,6037104701,2021,4402,6.8099999
1400000US06037104703,6037104703,2021,2174,8.6400003
1400000US06037104704,6037104704,2021,4321,7.29
1400000US06037104821,6037104821,2021,3551,7.6799998
1400000US06037104822,6037104822,2021,2839,8.2299995
1400000US06037104823,6037104823,2021,2663,8.21
1400000US06037104824,6037104824,2021,2968,8.21
1400000US06037106010,6037106010,2021,3093,4.5599999
1400000US06037106020,6037106020,2021,5420,4.8200002
1400000US06037106111,6037106111,2021,3049,3.6600001
1400000US06037106112,6037106112,2021,5611,6.4699998
