Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
"06029000102","Census Tract 1.02, Kern County, California","ACSSF","ca","140","00","0003903",,,,,"06","029",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000102","Census Tract 1.02",,,,2968,2515,0,0,14,23,54,362,84.74,0,0,0.47,0.77,1.82,12.2
"06029000103","Census Tract 1.03, Kern County, California","ACSSF","ca","140","00","0003904",,,,,"06","029",,,"000103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000103","Census Tract 1.03",,,,5218,4244,0,30,227,0,286,431,81.33,0,0.57,4.35,0,5.48,8.26
"06029000104","Census Tract 1.04, Kern County, California","ACSSF","ca","140","00","0003905",,,,,"06","029",,,"000104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000104","Census Tract 1.04",,,,1241,895,0,0,346,0,0,0,72.12,0,0,27.88,0,0,0
"06029000105","Census Tract 1.05, Kern County, California","ACSSF","ca","140","00","0003906",,,,,"06","029",,,"000105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000105","Census Tract 1.05",,,,3979,3265,1,0,19,0,273,421,82.06,0.03,0,0.48,0,6.86,10.58
"06029000106","Census Tract 1.06, Kern County, California","ACSSF","ca","140","00","0003907",,,,,"06","029",,,"000106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000106","Census Tract 1.06",,,,2466,1584,260,129,0,0,284,209,64.23,10.54,5.23,0,0,11.52,8.48
"06029000201","Census Tract 2.01, Kern County, California","ACSSF","ca","140","00","0003908",,,,,"06","029",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000201","Census Tract 2.01",,,,3998,2767,0,74,78,29,758,292,69.21,0,1.85,1.95,0.73,18.96,7.3
"06029000202","Census Tract 2.02, Kern County, California","ACSSF","ca","140","00","0003909",,,,,"06","029",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000202","Census Tract 2.02",,,,3366,2715,181,22,0,0,326,122,80.66,5.38,0.65,0,0,9.69,3.62
"06029000300","Census Tract 3, Kern County, California","ACSSF","ca","140","00","0003910",,,,,"06","029",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000300","Census Tract 3",,,,5164,3748,262,0,48,0,151,955,72.58,5.07,0,0.93,0,2.92,18.49
"06029000400","Census Tract 4, Kern County, California","ACSSF","ca","140","00","0003911",,,,,"06","029",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000400","Census Tract 4",,,,4652,3471,166,70,102,18,164,661,74.61,3.57,1.5,2.19,0.39,3.53,14.21
"06029000504","Census Tract 5.04, Kern County, California","ACSSF","ca","140","00","0003912",,,,,"06","029",,,"000504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000504","Census Tract 5.04",,,,5022,3507,193,218,16,0,344,744,69.83,3.84,4.34,0.32,0,6.85,14.81
"06029000505","Census Tract 5.05, Kern County, California","ACSSF","ca","140","00","0003913",,,,,"06","029",,,"000505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000505","Census Tract 5.05",,,,3754,3102,55,0,97,47,137,316,82.63,1.47,0,2.58,1.25,3.65,8.42
