Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,PCT_SE_B04001_002,PCT_SE_B04001_003,PCT_SE_B04001_004,PCT_SE_B04001_005,PCT_SE_B04001_006,PCT_SE_B04001_007,PCT_SE_B04001_008,PCT_SE_B04001_009,PCT_SE_B04001_010
"06029000102","Census Tract 1.02, Kern County, California","ACSSF","ca","140","00","0003903",,,,,"06","029",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000102","Census Tract 1.02",,,,2968,2393,2333,0,0,0,23,0,37,575,80.63,78.61,0,0,0,0.77,0,1.25,19.37
"06029000103","Census Tract 1.03, Kern County, California","ACSSF","ca","140","00","0003904",,,,,"06","029",,,"000103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000103","Census Tract 1.03",,,,5218,4118,3678,0,30,227,0,155,28,1100,78.92,70.49,0,0.57,4.35,0,2.97,0.54,21.08
"06029000104","Census Tract 1.04, Kern County, California","ACSSF","ca","140","00","0003905",,,,,"06","029",,,"000104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000104","Census Tract 1.04",,,,1241,1179,833,0,0,346,0,0,0,62,95,67.12,0,0,27.88,0,0,0,5
"06029000105","Census Tract 1.05, Kern County, California","ACSSF","ca","140","00","0003906",,,,,"06","029",,,"000105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000105","Census Tract 1.05",,,,3979,2658,2613,1,0,19,0,0,25,1321,66.8,65.67,0.03,0,0.48,0,0,0.63,33.2
"06029000106","Census Tract 1.06, Kern County, California","ACSSF","ca","140","00","0003907",,,,,"06","029",,,"000106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000106","Census Tract 1.06",,,,2466,1415,976,260,129,0,0,0,50,1051,57.38,39.58,10.54,5.23,0,0,0,2.03,42.62
"06029000201","Census Tract 2.01, Kern County, California","ACSSF","ca","140","00","0003908",,,,,"06","029",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000201","Census Tract 2.01",,,,3998,2952,2619,0,74,78,29,2,150,1046,73.84,65.51,0,1.85,1.95,0.73,0.05,3.75,26.16
"06029000202","Census Tract 2.02, Kern County, California","ACSSF","ca","140","00","0003909",,,,,"06","029",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000202","Census Tract 2.02",,,,3366,2609,2305,181,22,0,0,0,101,757,77.51,68.48,5.38,0.65,0,0,0,3,22.49
"06029000300","Census Tract 3, Kern County, California","ACSSF","ca","140","00","0003910",,,,,"06","029",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000300","Census Tract 3",,,,5164,3962,2951,262,0,48,0,0,701,1202,76.72,57.15,5.07,0,0.93,0,0,13.57,23.28
"06029000400","Census Tract 4, Kern County, California","ACSSF","ca","140","00","0003911",,,,,"06","029",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000400","Census Tract 4",,,,4652,3393,2853,97,70,86,5,0,282,1259,72.94,61.33,2.09,1.5,1.85,0.11,0,6.06,27.06
"06029000504","Census Tract 5.04, Kern County, California","ACSSF","ca","140","00","0003912",,,,,"06","029",,,"000504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000504","Census Tract 5.04",,,,5022,3442,2728,193,169,16,0,14,322,1580,68.54,54.32,3.84,3.37,0.32,0,0.28,6.41,31.46
