geoid,name,B99021001,"B99021001, Error",B99021002,"B99021002, Error",B99021003,"B99021003, Error"
05000US06029,"Kern County, CA",905644,-1,17813,-1,887831,-1
14000US06029000102,"Census Tract 1.02, Kern, CA",2968,-1,9,-1,2959,-1
14000US06029000103,"Census Tract 1.03, Kern, CA",5218,-1,19,-1,5199,-1
14000US06029000104,"Census Tract 1.04, Kern, CA",1241,-1,12,-1,1229,-1
14000US06029000105,"Census Tract 1.05, Kern, CA",3979,-1,268,-1,3711,-1
14000US06029000106,"Census Tract 1.06, Kern, CA",2466,-1,13,-1,2453,-1
14000US06029000201,"Census Tract 2.01, Kern, CA",3998,-1,16,-1,3982,-1
14000US06029000202,"Census Tract 2.02, Kern, CA",3366,-1,92,-1,3274,-1
14000US06029000300,"Census Tract 3, Kern, CA",5164,-1,227,-1,4937,-1
14000US06029000400,"Census Tract 4, Kern, CA",4652,-1,51,-1,4601,-1
14000US06029000504,"Census Tract 5.04, Kern, CA",5022,-1,171,-1,4851,-1
14000US06029000505,"Census Tract 5.05, Kern, CA",3754,-1,0,-1,3754,-1
14000US06029000506,"Census Tract 5.06, Kern, CA",2938,-1,1,-1,2937,-1
14000US06029000507,"Census Tract 5.07, Kern, CA",3797,-1,58,-1,3739,-1
14000US06029000508,"Census Tract 5.08, Kern, CA",1637,-1,51,-1,1586,-1
14000US06029000509,"Census Tract 5.09, Kern, CA",2440,-1,0,-1,2440,-1
14000US06029000510,"Census Tract 5.10, Kern, CA",4397,-1,150,-1,4247,-1
14000US06029000601,"Census Tract 6.01, Kern, CA",1905,-1,3,-1,1902,-1
14000US06029000602,"Census Tract 6.02, Kern, CA",3166,-1,0,-1,3166,-1
14000US06029000603,"Census Tract 6.03, Kern, CA",2667,-1,16,-1,2651,-1
14000US06029000701,"Census Tract 7.01, Kern, CA",3043,-1,63,-1,2980,-1
14000US06029000702,"Census Tract 7.02, Kern, CA",2747,-1,47,-1,2700,-1
14000US06029000800,"Census Tract 8, Kern, CA",5590,-1,124,-1,5466,-1
14000US06029000902,"Census Tract 9.02, Kern, CA",3017,-1,17,-1,3000,-1
14000US06029000903,"Census Tract 9.03, Kern, CA",4494,-1,117,-1,4377,-1
14000US06029000904,"Census Tract 9.04, Kern, CA",4200,-1,190,-1,4010,-1
14000US06029000905,"Census Tract 9.05, Kern, CA",2977,-1,150,-1,2827,-1
14000US06029000906,"Census Tract 9.06, Kern, CA",4593,-1,267,-1,4326,-1
14000US06029000907,"Census Tract 9.07, Kern, CA",2396,-1,23,-1,2373,-1
14000US06029000908,"Census Tract 9.08, Kern, CA",4800,-1,86,-1,4714,-1
14000US06029000909,"Census Tract 9.09, Kern, CA",2604,-1,46,-1,2558,-1
